title,artist,part_song,chord_absolute,roman_numeral,start_time,end_time
Rasa Ini,Vierratale,chorus,G,V,197.416054422,199.320090703
Rasa Ini,Vierratale,chorus,C,I,199.320090703,201.224126984
Rasa Ini,Vierratale,chorus,G,V,201.224126984,203.15138322
Rasa Ini,Vierratale,chorus,Am,vi,203.15138322,205.125079365
Rasa Ini,Vierratale,chorus,G,V,205.125079365,205.984217687
Rasa Ini,Vierratale,chorus,C,I,205.984217687,206.959455782
Rasa Ini,Vierratale,chorus,F,IV,206.959455782,208.933151927
Rasa Ini,Vierratale,chorus,Em,iii,208.933151927,210.883628118
Rasa Ini,Vierratale,chorus,Am,vi,210.883628118,212.74122449
Rasa Ini,Vierratale,chorus,G,V,212.74122449,216.595736961
Rasa Ini,Vierratale,outro,F,IV,216.595736961,218.522993197
Rasa Ini,Vierratale,outro,Em,iii,218.522993197,219.428571429
Rasa Ini,Vierratale,outro,Am,vi,219.428571429,220.427029478
Rasa Ini,Vierratale,outro,Dm,ii,220.427029478,221.379047619
Rasa Ini,Vierratale,outro,G,V,221.379047619,222.354285714
Rasa Ini,Vierratale,outro,C,I,222.354285714,224.235102041
Rasa Ini,Vierratale,outro,F,IV,224.235102041,226.092698413
Rasa Ini,Vierratale,outro,Em,iii,226.092698413,226.951836735
Rasa Ini,Vierratale,outro,Am,vi,226.951836735,227.903854875
Rasa Ini,Vierratale,outro,Dm,ii,227.903854875,230.016870748
Rasa Ini,Vierratale,outro,G,V,230.016870748,232.408526077
Rasa Ini,Vierratale,outro,C,I,232.408526077,242.369
Kesepian,Vierratale,intro,C,I,0.371519274,3.715192744
Kesepian,Vierratale,intro,Em,iii,3.715192744,6.989206349
Kesepian,Vierratale,intro,F,IV,6.989206349,10.170340136
Kesepian,Vierratale,intro,Fm,iv,10.170340136,13.514013605
Kesepian,Vierratale,verse,C,I,13.514013605,16.718367347
Kesepian,Vierratale,verse,G,V,16.718367347,19.853061224
Kesepian,Vierratale,verse,F,IV,19.853061224,23.219954649
Kesepian,Vierratale,verse,G,V,23.219954649,26.447528345
Kesepian,Vierratale,verse,C,I,26.447528345,29.675102041
Kesepian,Vierratale,verse,G,V,29.675102041,32.879455782
Kesepian,Vierratale,verse,F,IV,32.879455782,36.269569161
Kesepian,Vierratale,verse,G,V,36.269569161,42.585396825
Kesepian,Vierratale,verse,C,I,42.585396825,45.929070295
Kesepian,Vierratale,verse,G,V,45.929070295,49.086984127
Kesepian,Vierratale,verse,F,IV,49.086984127,52.384217687
Kesepian,Vierratale,verse,G,V,52.384217687,55.518911565
Kesepian,Vierratale,verse,C,I,55.518911565,58.839365079
Kesepian,Vierratale,verse,G,V,58.839365079,62.020498866
Kesepian,Vierratale,verse,F,IV,62.020498866,65.38739229
Kesepian,Vierratale,verse,G,V,65.38739229,71.819319728
Kesepian,Vierratale,chorus,C,I,71.819319728,75.046893424
Kesepian,Vierratale,chorus,Em,iii,75.046893424,78.320907029
Kesepian,Vierratale,chorus,Gm,v,78.320907029,79.946303855
Kesepian,Vierratale,chorus,A,VI,79.946303855,81.548480726
Kesepian,Vierratale,chorus,Dm,ii,81.548480726,84.822494331
Kesepian,Vierratale,chorus,Fm,iv,84.822494331,86.401451247
Kesepian,Vierratale,chorus,F,IV,86.401451247,88.096507937
Kesepian,Vierratale,chorus,Em,iii,88.096507937,89.675464853
Kesepian,Vierratale,chorus,Am,vi,89.675464853,91.277641723
